name,isToken,image,star,cost,isGold,attack,health,keyWords,longKeyWords,type,cardType,tag,SkillDescription,dcription,counters
时间管理者,0,card109,2,0,0,3,4,,AfterSold:GiveMinionsInHand11Or22;,龙,随从,2;龙;,,,
巨型蟒蛇,0,card110,3,0,0,5,3,,Deathrattle:Recall5AttackMinionFromHand;,野兽,随从,2;手牌;野兽;亡语;召唤,,,
安尼赫兰战场军官,0,card111,5,0,0,3,1,,Battlecry:Gain1Or2HealthForEachHealthYourHEroLost;,恶魔,随从,3;战吼;恶魔,,,
鲭鱼圣者,0,card112,6,0,0,8,4,,AfterMinionDivineShieldBroken:GainDivineShieldWhenMinionDivineShieldBroken;,鱼人,随从,1;圣盾流;圣盾流;鱼人;圣盾,,,
护盾机器人,0,card113,2,0,0,2,2,圣盾,,机械,随从,2;机械;圣盾,,,
吵吵机器人,0,card114,2,0,0,1,2,圣盾;嘲讽,,机械,随从,2;机械;圣盾;嘲讽,,,
闹闹机器人,0,card115,3,0,0,3,4,圣盾;嘲讽,,机械,随从,2;机械;圣盾;嘲讽,,,
粗俗的矮劣魔,0,card116,1,0,0,2,4,嘲讽;,Battlecry:Deal2DamageToYourHero;,恶魔,随从,2;恶魔;嘲讽,,,
邪鳍导航员,0,card117,3,0,0,4,4,,Battlecry:AllyMurlocGain11Or22;,鱼人,随从,2;鱼人;战吼,,,
骸骨巨龙,0,card118,5,0,0,4,9,嘲讽;,TurnStart:Add1Or2DragonsToYourHand;,龙,随从,2;龙;嘲讽;手牌,,,
锈誓信徒,0,card119,4,0,0,3,3,,Battlecry:OtherAllyGainDeathrattleSummonDemon;,,随从,2;恶魔;战吼;中立;亡语;召唤,,,
百变泽鲁斯,0,card120,3,0,0,1,1,,TurnStartInHand:TransformToRandomMinion;,,随从,2;特殊;奇异;中立,,,
黑眼,0,card121,3,0,0,3,4,,AfterHeroHurt:Gain1Or2Coins;,恶魔,随从,2;恶魔,,,
荒疫爬行者,0,card122,5,0,0,2,4,,Deathrattle:Summon11PoisonousOr22;,机械,随从,2;亡语;机械;剧毒,,,
辐射软泥怪,1,card123,1,0,0,1,1,剧毒;,,,随从,,,,
陵墓守望者,0,card124,5,0,0,3,6,嘲讽;,Battlecry:Summon1Or2Copy;,机械,随从,2;战吼;机械;召唤;嘲讽,,,
机械保险箱,0,card125,3,0,0,4,5,嘲讽;,Deathrattle:Summon05TauntOr010;,机械,随从,2;亡语;召唤;机械;嘲讽,,,
保险柜,1,card126,1,0,0,0,5,嘲讽;,,机械,随从,,,,
慈祥的外婆,0,card127,2,0,0,1,1,,Deathrattle:Summon32BeastOr64;,野兽,随从,2;野兽;亡语;召唤,,,
大灰狼,1,card128,1,0,0,3,2,,,野兽,随从,,,,
//腐化灰熊,0,card129,2,0,0,2,2,,WhenMinionSummon:Give11Or22WhenSummonMinion;,野兽,随从,4;特殊;召唤;野兽,,,
鲜血女巫,0,card130,2,0,0,3,6,,TurnStart:Deal1DamageToYourHero;,恶魔,随从,2;特殊;恶魔,,,
//地穴领主,0,card131,2,0,0,1,6,嘲讽;,WhenMinionSummon:GainHealthWhenSummonMinion;,野兽,随从,3;特殊;野兽;召唤;嘲讽,,,
污手街惩罚者,0,card132,3,0,0,4,4,,TurnEnd:GiveHandMinion11Or22;,,随从,2;手牌;中立,,,
//高阶祭司阿门特,0,card133,5,0,0,2,7,,WhenMinionSummon:SetHealthWhenSummonMinion;,,随从,4;特殊;唯一;中立;召唤,,,
//飞刀杂耍者,0,card134,1,0,0,2,2,,WhenMinionSummon:Deal1DamageOrRepeat;,,随从,4;特殊;中立;亡语,,,
//无面潜伏者,0,card135,4,0,0,3,3,嘲讽;,Battlecry:DoubleOrTripleHealth;,,随从,2;战吼;嘲讽,,,
//分裂腐树,0,card136,5,0,0,4,4,,Deathrattle:SummonTwo22Tree;,,随从,2;特殊;亡语;召唤;中立,,,
//分裂树苗,1,card137,1,0,0,2,2,,Deathrattle:SummonTwo11Tree;,,随从,2,,,
//树枝,1,card138,1,0,0,1,1,,,,随从,,,,
软泥教授弗洛普,0,card139,6,0,0,3,4,,AfterMinionPlayedInHand:TransformTo34CopyOfMinion;,,随从,2;特殊;奇异;中立,,,
软泥教授弗洛普,1,card139,6,0,1,6,8,,AfterMinionPlayedInHand:TransformTo68CopyOfMinion;,,随从,2;特殊;奇异;中立,,,
狂野兽王,0,card140,3,0,0,3,4,,AfterFlush:BeastOnSaleGain22Or44;,野兽,随从,2;野兽;特殊,,,
夺心者卡什,0,card141,4,0,0,3,3,,Battlecry:ChooseEnemyThenReSummon;,,随从,2;战吼;亡语;中立,,,
菌菇术士,0,card142,5,0,0,2,2,,Battlecry:AdjacentMinionGain22Or44;,2;战吼;中立,随从,,,,
炮火机甲,0,card143,2,0,0,2,2,复生,,机械,随从,2;机械;复生,,,
飞翼守护者,0,card144,5,0,0,6,8,复生;嘲讽,,野兽,随从,2;野兽;复生;嘲讽,,,
铁皮恐角龙,0,card145,5,0,0,7,7,,OverKill:Summon55BeastOr1010;,野兽,随从,2;野兽;超杀;召唤,,,
铁皮小恐龙,1,card146,1,0,0,5,5,,,野兽,随从,,,,
哈多诺克斯,0,card147,6,0,0,3,7,,Deathrattle:SummonAllDeadTauntMinion;,野兽,随从,3;野兽;嘲讽;亡语;召唤,,,
寄生恶狼,0,card148,3,0,0,3,3,,Deathrattle:SummonTwo11Beast;,野兽,随从,2;野兽;亡语;召唤,,,
蜘蛛,1,card149,1,0,0,1,1,,,野兽,随从,,,,
憎恶弓箭手,0,card150,5,0,0,6,7,,Deathrattle:SummonDeadBeast;,,随从,3;野兽;亡语;召唤;中立,,,
//高级修理机器人,0,card151,4,0,0,5,5,,Battlecry:AddAnAllyMech4Health;,机械,随从,2;战吼;机械,,,
厄运鼹鼠,0,card152,1,0,0,1,3,,,野兽,随从,,,,
微型战斗机甲,0,card153,1,0,0,1,2,,TurnStart:Plus1AttackOr2;,机械,随从,2;特殊;机械,,,
//荒野行者,0,card154,3,0,0,4,4,,Battlecry:AddAnAllyBeast3Health;,,随从,2;战吼;中立;野兽,,,
疯狂的炼金师,0,card155,1,0,0,2,2,,Battlecry:ExchangeAnAllyAttackHealth;,,随从,2;战吼;中立;奇异,,,
方阵指挥官,0,card156,3,0,0,4,5,,Aura:PlusAllyWithTaunt2AttackOr4;,,随从,4;中立;嘲讽,,,
小鬼妈妈,0,card157,6,0,0,6,10,,AfterHurt:Summon1Or2DemonAndGiveItTaunt;,恶魔,随从,2;恶魔;召唤;嘲讽,,,
鱼人木乃伊,0,card158,1,0,0,1,1,复生,,鱼人,随从,2;鱼人;复生,,,
夜色镇执法官,0,card159,3,0,0,3,3,,WhenMinionSummon:GiveDivineShieldWhenSummonMinion;,,随从,4;特殊;召唤;中立;圣盾,,,
载人收割机,0,card160,3,0,0,4,3,,Deathrattle:SummonRamdom2StarMinion;,机械,随从,2;机械;亡语;召唤,,,
载人飞天魔像,0,card161,4,0,0,6,4,,Deathrattle:SummonRamdom3StarMinion;,机械,随从,2;机械;亡语;召唤,,,
//青玉魔像,1,card162,1,0,0,0,0,,,,随从,2,,,
//青玉巨兽,0,card163,4,0,0,3,6,嘲讽,Battlecry:Summon1Or2JadeGloem;,,随从,2;战吼;中立;青玉;特殊;嘲讽,,,
//青玉游荡者,0,card164,1,0,0,1,1,,Deathrattle:Summon1Or2JadeGloem;,,随从,2;亡语;中立;青玉;特殊,,,
//青玉之灵,0,card165,2,0,0,2,3,,Battlecry:Summon1Or2JadeGloem;,,随从,2;战吼;中立;青玉;特殊,,,
//艾雅·黑掌,0,card166,6,0,0,5,3,,Battlecry:Summon1Or2JadeGloem;Deathrattle:Summon1Or2JadeGloem;,,随从,2;战吼;亡语;中立;青玉;特殊,,,
流放者奥图里斯,0,,6,0,0,6,4,,AfterMinionSummon:Deal1Or2DamageToAllEnemyIfOutCast;,恶魔,随从,4;恶魔;召唤,,,
,,,,,,,,,,,,,,,
英雄,1,,0,1,0,0,30,,,,英雄,,,,进行一局游戏后解锁
探险家伊莉斯,0,,0,2,0,0,30,,HeroPower:DiscoverAMinionNotInCardPile,,英雄,,,,
观星者露娜,0,,0,-1,0,0,30,,TurnEnd:GiveAlly11IfDifferentStar;,,英雄,,,,
砰砰博士,0,hero1,0,4,0,0,30,,HeroPower:UpdateYourInn;AfterUpgrade:BanHeroPowerWhenUpdateto6;,,英雄,,,,
狗头人国王托瓦格尔,0,hero2,0,-1,0,0,30,,AfterBoughtMinion:FlushYourInn;,,英雄,,,,
虚空之影瓦莉拉,0,hero3,0,-1,0,0,30,,GameStart:AddAShadowToHand;,,英雄,,,,
暗影映像,1,card167,1,0,0,1,1,,AfterMinionPlayedInHand:TransformToACopyOfMinion;,,随从,,,,
尤格萨隆,0,hero5,0,2,0,0,30,,HeroPower:RandomlyAddMinionOnSaleToYouHand;,,英雄,,,,
火车王里诺艾,0,hero6,0,-1,0,0,30,,TurnStart:Add11DragonToYouHandIfLost;,,英雄,,,,
雏龙,1,card168,1,0,0,1,1,,,龙,随从,,,,
雷诺·杰克逊,0,hero8,0,-1,0,0,30,,CombatStart:RandomDealDamageByConter;AfterUpgrade:UpdateCounter0,,英雄,,,,
贸易大王加里维克斯,0,hero9,0,-1,0,0,30,,TurnEnd:GainCoinsForEachLeftCois;,,英雄,,,,
艾德温·范克里夫,0,hero10,0,1,0,0,30,,HeroPower:Give11ForEachMinionBoughtThisTurnToSelectedMinion;,,英雄,,,,
老蓟皮,0,hero11,0,-1,0,0,20,,Aura:MurlocHeroPower;,,英雄,Boss;,,,
银背族长,0,hero12,0,-1,0,0,20,,Aura:BeastHeroPower;,,英雄,Boss;,,,
提里奥·弗丁,0,hero13,0,1,0,0,30,,HeroPower:AllyGeneralGain11;,,英雄,Boss;,,,
米尔菲斯·法力风暴,0,hero14,0,-1,0,0,30,,Aura:PlusAllyMech2Attack;,,英雄,Boss;,,,
加拉克苏斯大王,0,hero15,0,-1,0,0,30,,AfterMinionDeath:Deal2DamageToRandomEnemyMinionWhenDemonDie;,,英雄,Boss;,,,
Dr.Boom,0,hero16,0,-1,0,0,30,,Aura:GiveFirstMinionTaunt;,,英雄,Boss;,,,
馆长,0,hero17,0,-1,0,0,30,,Aura:AllyGainAllMinionType;,,英雄,Boss;,,,
夺旗,0,treasure1,0,0,0,0,0,被动;,Aura:AllyGain11,,法术,宝藏;,,,
晶化宝石,0,treasure2,0,0,0,0,0,被动;,GameStart:AddMainCoin,,法术,宝藏;,,,
活力药水,0,treasure3,0,0,0,0,0,被动;,GameStart:DoubleYourHeroHealth,,法术,宝藏;,,,
希望药剂,0,treasure4,0,0,0,0,0,被动;,CombatStart:EvolveAllAlly,,法术,宝藏;,,,
凯尔萨斯的王冠,0,treasure5,0,0,0,0,0,被动;,Aura:EveryThirdMinionYouBoughtCost0,,法术,宝藏;唯一,,,
//高级调酒师,0,treasure6,0,0,0,0,0,被动;,AfterUpgrade:Reduce2CostOfUpgrade,,法术,宝藏;,,,
//融合实验,0,treasure7,0,0,0,0,0,被动;,Aura:AllyGainAllMinionType,,法术,宝藏;唯一,,,
哈卡莱血祭杯,0,treasure8,0,0,0,0,0,被动;,GameStart:Always7MinionsOnSale,,法术,宝藏;唯一,,,
//馆长的收藏品,0,treasure9,0,0,0,0,0,被动;,GameStart:Summon2FusionMoster,,法术,宝藏;,,,
//人才招募计划,0,treasure10,0,0,0,0,0,被动;,TurnStart:CreateRandomMinion,,法术,宝藏;,,,
//超级加倍,0,treasure11,0,0,0,0,0,被动;,AfterUpgrade:DiscoverAnotherTreasure,,法术,宝藏;唯一,,,
舒筋活络,0,,0,0,0,0,0,被动;,AfterHeroHurt:HealHero1,,法术,宝藏,,,
集结号角,0,treasure13,0,0,0,0,0,被动;,AfterBoughtMinion:AddNewMinionAndGain11,,法术,宝藏;唯一,,,
荆棘外壳,0,treasure14,0,0,0,0,0,被动;,GameStart:YourHeroGain2Attack,,法术,宝藏;,,,
起源图腾,0,treasure15,0,0,0,0,0,被动;,AfterFlush:GiveRandomAlly11,,法术,宝藏,,,
鲍（阴）,0,treasure16,0,0,0,0,0,被动;,AfterMinionSold:YourNextCostOfBuyMinionReduce1,,法术,宝藏;唯一,,,
勃（阳）,0,treasure17,0,0,0,0,0,被动;,AfterBoughtMinion:YourNextCoinGainOfSellMinionAdd1,,法术,宝藏;唯一,,,
//能量之泉,0,,0,0,0,0,0,被动;,GameStart:DoubleYourTreasures,,法术,宝藏;唯一,,,
//三个愿望,0,treasure2,0,0,0,0,0,被动;,AfterUpgrade:GetAWish,,法术,宝藏;,,,
一袋铸币,0,treasure18,0,0,0,0,0,主动;,SpellEffect:FullYourHandWithCoins,,法术,宝藏;,,,
商店兑换券,0,treasure19,0,0,0,0,0,主动;,SpellEffect:AddAllMinionOnSaleToYouHand,,法术,宝藏;,,,
//召唤援军,0,,0,3,0,0,0,主动;,SpellEffect:Summon88,,法术,宝藏;,,,
//忠实护卫,1,,1,0,0,8,8,,,,随从,,,,
//一个愿望,0,treasure2,0,0,0,0,0,主动;,SpellEffect:GetAWonderfulCard,,法术,,,,
三连奖励1星,0,bonus,0,0,0,0,0,,SpellEffect:Discover1StarMinion,,法术,,,,
三连奖励2星,0,bonus,0,0,0,0,0,,SpellEffect:Discover2StarMinion,,法术,,,,
三连奖励3星,0,bonus,0,0,0,0,0,,SpellEffect:Discover3StarMinion,,法术,,,,
三连奖励4星,0,bonus,0,0,0,0,0,,SpellEffect:Discover4StarMinion,,法术,,,,
三连奖励5星,0,bonus,0,0,0,0,0,,SpellEffect:Discover5StarMinion,,法术,,,,
三连奖励6星,0,bonus,0,0,0,0,0,,SpellEffect:Discover6StarMinion,,法术,,,,
铸币,0,coin,0,0,0,0,0,,SpellEffect:Gain1Coin,,法术,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
